Fighter,Label
Eric Schafer,631
Brandon Vera,241
Junior Dos Santos,1086
Cheick Kongo,351
Alessio Sakara,54
Mike Pierce,1438
Eliot Marshall,618
Brendan Schaub,246
Clay Guida,403
Duane Ludwig,584
John Howard,987
Matthew Riddle,1376
Georges St-Pierre,715
Frank Mir,683
Kurt Pellegrino,1182
Ben Saunders,198
Rousimar Palhares,1747
Nate Diaz,1498
Ricardo Almeida,1670
Rodney Wallace,1708
Jim Miller,937
Yushin Okami,2089
Jacob Volkmann,832
Charlie Brenneman,341
Gerald Harris,716
Rob Emerson,1693
Nate Quarry,1502
Andre Winner,113
Ross Pearson,1745
Roy Nelson,1749
Kenny Florian,1144
Caol Uno,296
Kendall Grove,1142
Paul Kelly,1585
Jon Madsen,1004
Nick Osipczak,1518
Alexander Gustafsson,71
DaMarques Johnson,454
BJ Penn,184
Anderson Silva,105
Matt Hughes,1366
Terry Etim,1921
TJ Grant,1887
Marcus Davis,1319
Jason MacDonald,886
Yoshiyuki Yoshida,2083
Tom Lawlor,1958
Joey Beltran,974
Kevin Ferguson,1152
Patrick Cote,1576
Sam Stout,1780
Josh Koscheck,1052
Lyoto Machida,1266
Amir Sadollah,102
Jesse Forbes,918
Aaron Riley,6
Luiz Cane,1255
Melvin Guillard,1396
Efrain Escudero,613
Todd Duffee,1951
Diego Sanchez,558
Jason Brilz,882
Michael Bisping,1398
Rampage Jackson,1638
Mike Pyle,1439
James Wilks,861
David Loiseau,523
Mac Danzig,1267
Tyson Griffin,1986
Ricardo Funch,1671
Ben Rothwell,197
Paulo Thiago,1590
Mirko Cro Cop,1456
Chuck Liddell,393
Carlos Condit,304
James McSweeney,855
Chris Camozzi,361
Josh Bryant,1044
Brad Tavares,233
John Gunderson,984
Jamie Yager,868
Spencer Fisher,1853
Chris Leben,376
Keith Jardine,1137
Court McGee,436
Forrest Petz,672
Brock Lesnar,262
George Sotiropoulos,713
Krzysztof Soszynski,1180
Chris Lytle,377
Seth Petruzelli,1813
Darren Elkins,510
Rob Kimmons,1695
James Irvin,852
Brian Stann,258
Jon Jones,1003
Mark Munoz,1336
Stefan Struve,1857
Jon Fitch,1002
Dustin Hazelett,587
Johny Hendricks,1000
Todd Brown,1950
Demian Maia,533
Frankie Edgar,684
Randy Couture,1643
Dan Miller,471
Joe Lauzon,965
Rich Attonito,1675
